critic,fresh,imdb,publication,quote,review_date,rtid,title
Dave Kehr,rotten,61852.0,Chicago Reader,"A serious disappointment, recommended only for inveterate Disney fans and very young people.",2008-03-10,9381.0,The Jungle Book
,fresh,61852.0,Time Out,"It's also got great knockabout visual gags, mercifully little cutey-poo sentiment, and reasonable songs.",2006-09-30,9381.0,The Jungle Book
Emanuel Levy,none,107472.0,Variety,,2012-02-23,18869.0,Die Macht der Bilder: Leni Riefenstahl
Deborah Young,none,107472.0,Variety,,2009-03-26,18869.0,Die Macht der Bilder: Leni Riefenstahl
Jonathan Rosenbaum,rotten,107472.0,Chicago Reader,"This is more often self-portrait than portrait; like Hitler in Riefenstahl's Triumph of the Will, she's presented as a fully formed deity without family background or ideology save a reverence for beauty and strength.",2007-03-14,18869.0,Die Macht der Bilder: Leni Riefenstahl
Vincent Canby,fresh,107472.0,New York Times,Sometimes clunky but consistently fascinating.,2004-08-30,18869.0,Die Macht der Bilder: Leni Riefenstahl
Roger Ebert,fresh,107472.0,Chicago Sun-Times,"This movie is fascinating in so many different ways: As the story of an extraordinary life, as the reconstruction of the career of one of the greatest of film artists, as the record of an ideological debate, as a portrait of an amazing old woman.",2000-01-01,18869.0,Die Macht der Bilder: Leni Riefenstahl
Desson Thomson,fresh,107472.0,Washington Post,"Overly long, but fascinating.",2000-01-01,18869.0,Die Macht der Bilder: Leni Riefenstahl
,none,111686.0,Variety,,2012-02-23,14325.0,New Nightmare
Owen Gleiberman,rotten,111686.0,Entertainment Weekly,,2011-09-07,14325.0,New Nightmare
Jonathan Rosenbaum,rotten,111686.0,Chicago Reader,This one's defeated by the rigid formula.,2010-04-05,14325.0,New Nightmare
Joe Leydon,fresh,111686.0,Variety,"Englund once again is in bravura form as Freddy, playing as much for nasty laughs as unnerving shocks.",2009-03-26,14325.0,New Nightmare
,fresh,111686.0,Time Out,"The climactic punch-up fails to match the power of the first film's true ending, but in deconstructing his own bastardised creation, Craven redeems both the series and his own tarnished reputation.",2006-06-24,14325.0,New Nightmare
Janet Maslin,fresh,111686.0,New York Times,"An ingenious, cathartic exercise in illusion and fear.",2003-05-20,14325.0,New Nightmare
,fresh,111686.0,Globe and Mail,"An intricately constructed horror film, it not only takes you to hell and back, but thoroughly engages the mind as well as the emotions.",2002-04-12,14325.0,New Nightmare
Desson Thomson,fresh,111686.0,Washington Post,"It's witty, smart, funny, entertaining, and you'll still like yourself in the morning for watching it.",2000-01-01,14325.0,New Nightmare
James Berardinelli,fresh,111686.0,ReelViews,"[Craven] has brought back a sense of genuine horror to the series, in part by taking it to completely new ground, and in part by giving his actors a legitimate script to work with.",2000-01-01,14325.0,New Nightmare
Roger Ebert,fresh,111686.0,Chicago Sun-Times,"I haven't been exactly a fan of the Nightmare series, but I found this movie, with its unsettling questions about the effect of horror on those who create it, strangely intriguing.",2000-01-01,14325.0,New Nightmare
Richard Harrington,fresh,111686.0,Washington Post,The new film recaptures the dark soul of the original through a clever conceit.,2000-01-01,14325.0,New Nightmare
,rotten,111686.0,Entertainment Weekly,,1994-10-14,14325.0,New Nightmare
Steven Rea,fresh,110475.0,Philadelphia Inquirer,"When his face turns green and his limbs get limber, Carrey's pretty much unstoppable. This cartoon-y creation is an amazing fusion of physical comedy and state-of-the- art cinema illusion.",2013-04-12,11568.0,The Mask
Michael Sragow,fresh,110475.0,New Yorker,"The gangland plot is flimsy (bad guy Peter Greene wears too much eyeliner), and the jokes are erratic, but it's a far better showcase for Carrey's comic-from-Uranus talent than Ace Ventura.",2013-04-12,11568.0,The Mask
Gene Siskel,fresh,110475.0,Chicago Tribune,"Carrey and his aggressive overbite are back, but this time he's better used as an ingredient instead of as the plot.",2013-04-12,11568.0,The Mask
Jay Boyar,fresh,110475.0,Orlando Sentinel,"If a movie star was born in Ace Ventura, he is christened in The Mask. Quite simply, this is the best and freest crazy comedy to come along since Beetlejuice.",2013-04-12,11568.0,The Mask
Kenneth Turan,fresh,110475.0,Los Angeles Times,"Not only is he adept at physical humor, the kind of knockabout stuff that recalls the classic silent clowns, but Carrey also has a bright and likable screen presence, a lost puppy quality that is surprisingly endearing.",2013-04-12,11568.0,The Mask
Owen Gleiberman,rotten,110475.0,Entertainment Weekly,"Carrey now has the clout to find a vehicle worthy of his hyperactive gooniness. When he does, we'll see if he's truly a jester for our time or simply the moron of the moment.",2010-07-06,11568.0,The Mask
Leonard Klady,fresh,110475.0,Variety,"Adroitly directed, viscerally and visually dynamic and just plain fun.",2008-11-24,11568.0,The Mask
Jonathan Rosenbaum,fresh,110475.0,Chicago Reader,"The results are easy to watch, though awfully familiar and simpleminded.",2007-04-18,11568.0,The Mask
Derek Adams,fresh,110475.0,Time Out,"The design is bright as a button and the transformation scenes real eye-poppers, but the film's best special effect is putty-faced Carrey with his razzle-dazzle star turn as the affable Stanley and his manic alter ego.",2006-02-09,11568.0,The Mask
Janet Maslin,rotten,110475.0,New York Times,"Bright-eyed, crazily intense, irrepressibly silly, Mr. Carrey can be funny without fireworks. He deserves material clever enough to let him do just that.",2003-06-08,11568.0,The Mask
Peter Travers,fresh,110475.0,Rolling Stone,"Carrey is the ultimate party dude, and like the masked man says, this party is smokin'.",2001-06-06,11568.0,The Mask
Joe Brown,fresh,110475.0,Washington Post,"Even without the state-of-the-art, boundary-busting computerized effects from Industrial Light & Magic, Carrey's a human cartoon, and his spontaneous, Avery-esque, anything-for-a-laugh outrageousness makes this otherwise blank Mask a must-see.",2000-01-01,11568.0,The Mask
James Berardinelli,rotten,110475.0,ReelViews,"As a comedy, The Mask is genial, but its recycled plot is far too thin for the film to succeed as either an adventure or a spoof.",2000-01-01,11568.0,The Mask
Roger Ebert,fresh,110475.0,Chicago Sun-Times,"The Mask is a perfect vehicle for the talents of Jim Carrey, who underwhelmed me with Ace Ventura, Pet Detective but here seems to have found a story and character that work together with manic energy.",2000-01-01,11568.0,The Mask
Rita Kempley,rotten,110475.0,Washington Post,Doesn't have any more material than a Tex Avery cartoon.,2000-01-01,11568.0,The Mask
Owen Gleiberman,rotten,110588.0,Entertainment Weekly,,2011-09-07,533371313.0,Mrs. Parker and the Vicious Circle
Todd McCarthy,fresh,110588.0,Variety,A highly absorbing but naggingly patchy look at the acerbic writer Dorothy Parker and her cohorts at the legendary Algonquin Round Table.,2009-03-26,533371313.0,Mrs. Parker and the Vicious Circle
Derek Adams,fresh,110588.0,Time Out,Absolutely superb.,2006-06-24,533371313.0,Mrs. Parker and the Vicious Circle
Janet Maslin,fresh,110588.0,New York Times,"""Mrs. Parker and the Vicious Circle"" has its flaws, but it also has a heartfelt grasp of what set Dorothy Parker apart from her fellow revelers and makes her so emblematic a figure even today.",2003-05-20,533371313.0,Mrs. Parker and the Vicious Circle
Hal Hinson,fresh,110588.0,Washington Post,"The Dorothy Parker that Leigh and Rudolph present isn't one-dimensional. In addition to being savagely funny, she is also capable of great elegance and genuine insight.",2000-01-01,533371313.0,Mrs. Parker and the Vicious Circle
James Berardinelli,fresh,110588.0,ReelViews,,2000-01-01,533371313.0,Mrs. Parker and the Vicious Circle
Roger Ebert,fresh,110588.0,Chicago Sun-Times,,2000-01-01,533371313.0,Mrs. Parker and the Vicious Circle
Mick LaSalle,fresh,110588.0,San Francisco Chronicle,"What a wonderful, detailed portrait. And what an evocation of a time and a mood. ""Mrs. Parker and the Vicious Circle'' is truly one of those films that inhabits its own world.",2000-01-01,533371313.0,Mrs. Parker and the Vicious Circle
,rotten,110588.0,Entertainment Weekly,,1994-11-23,533371313.0,Mrs. Parker and the Vicious Circle
Brian Lowry,none,110622.0,Variety,,2009-03-26,12667.0,Naked Gun 33 1/3: The Final Insult
Jonathan Rosenbaum,fresh,110622.0,Chicago Reader,Silly enough to make you laugh sometimes in spite of yourself -- at least if you're feeling like a little boy.,2008-01-11,12667.0,Naked Gun 33 1/3: The Final Insult
Caryn James,fresh,110622.0,New York Times,"The film's first-time director, Peter Segal, has adopted the series' style seamlessly.",2003-05-20,12667.0,Naked Gun 33 1/3: The Final Insult
James Berardinelli,rotten,110622.0,ReelViews,It's sad to see what started out as such a lively and creative series descend to this -- a feeble attempt to stretch a few pedestrian jokes into a feature-length film.,2000-01-01,12667.0,Naked Gun 33 1/3: The Final Insult
Rita Kempley,fresh,110622.0,Washington Post,Manages to be not only still funny but energetically slapped together and occasionally inventive.,2000-01-01,12667.0,Naked Gun 33 1/3: The Final Insult
Desson Thomson,fresh,110622.0,Washington Post,"Wherever you are in the story, there's always something funny coming at you.",2000-01-01,12667.0,Naked Gun 33 1/3: The Final Insult
Roger Ebert,fresh,110622.0,Chicago Sun-Times,"It occurred to me, watching the film, that what Leslie Nielsen and Priscilla Presley do here is not easy, and is done well.",2000-01-01,12667.0,Naked Gun 33 1/3: The Final Insult
,fresh,110622.0,Entertainment Weekly,,1994-03-18,12667.0,Naked Gun 33 1/3: The Final Insult
Owen Gleiberman,fresh,110771.0,Entertainment Weekly,,2011-09-07,14243.0,The Paper
Todd McCarthy,none,110771.0,Variety,,2009-03-26,14243.0,The Paper
Derek Adams,none,110771.0,Time Out,,2006-02-09,14243.0,The Paper
Janet Maslin,none,110771.0,New York Times,,2003-05-20,14243.0,The Paper
Rick Groen,rotten,110771.0,Globe and Mail,"The picture starts to fall in love with its subject -- head- over-heels in love, until the acid drains from the wit and there's nothing left but sentimental ooze.",2002-04-12,14243.0,The Paper
Peter Travers,fresh,110771.0,Rolling Stone,"It's all slick, fizzy fun. But the film's fighting spirit gets snatched.",2001-06-06,14243.0,The Paper
Roger Ebert,fresh,110771.0,Chicago Sun-Times,"Watching The Paper got me in touch all over again with how good it feels to work at the top of your form, on a story you believe in, on deadline.",2000-01-01,14243.0,The Paper
Rita Kempley,fresh,110771.0,Washington Post,Perfectly captures the hubbub of the nation's newsrooms.,2000-01-01,14243.0,The Paper
Joe Brown,fresh,110771.0,Washington Post,"Thanks to a caffeinated cast and hyperactive script, director Ron Howard delivers The Paper with a bang.",2000-01-01,14243.0,The Paper
James Berardinelli,fresh,110771.0,ReelViews,"A crowd pleaser, and, regardless of any viewer's experience (or lack thereof) with the behind-the-scenes wrangling that goes on in newspaper offices, the story is affable and entertaining.",2000-01-01,14243.0,The Paper
,fresh,110771.0,Entertainment Weekly,,1994-03-18,14243.0,The Paper
Jeff Shannon,fresh,110950.0,Seattle Times,Ryder and Hawke bring crucial authenticity to their roles with effortless appeal. You'll find yourself wanting more of these characters than the movie gives you.,2013-08-28,12572.0,Reality Bites
Carrie Rickey,fresh,110950.0,Philadelphia Inquirer,"However conventional Reality Bites resolves to be, it is always engaging. Best of all, Ryder has her greatest role since Heathers, once again proving herself a seriously funny young actress.",2013-03-27,12572.0,Reality Bites
Michael Wilmington,rotten,110950.0,Chicago Tribune,It's a good example of an anti-establishment comedy crippled by a seeming desire to infatuate the establishment itself. What Reality Bites needs most is a good bite. From reality.,2013-03-27,12572.0,Reality Bites
Jay Boyar,fresh,110950.0,Orlando Sentinel,"Among the movie's strengths are the performances, especially that of Ryder, who comes across as bright, beautiful and more delicate than ever before.",2013-03-27,12572.0,Reality Bites
Terrence Rafferty,rotten,110950.0,New Yorker,"When the movie is over, you don't feel as if you had shared the experience of a new generation; you feel puzzled and vaguely crummy, as if you had just read a solemn news-magazine cover story about it.",2013-03-27,12572.0,Reality Bites
Owen Gleiberman,fresh,110950.0,Entertainment Weekly,"Yearning, hilarious, lost within their precocious self-awareness, these slackers have soul.",2011-09-07,12572.0,Reality Bites
Peter Travers,fresh,110950.0,Rolling Stone,"Although it never became the definitive document of Generation X, Reality Bites is a touchstone for anyone just out of college and stuck with more ideals than job prospects, not to mention a head full of bad-TV trivia.",2007-08-14,12572.0,Reality Bites
Jonathan Rosenbaum,rotten,110950.0,Chicago Reader,"In 1994, the novelty of seeing a romantic comedy written and directed by, as well as starring, people in their early 20s made for a certain freshness, but after a point this 'youthfulness' consists of little more than TV references.",2007-08-07,12572.0,Reality Bites
Leonard Klady,rotten,110950.0,Variety,Reality Bites begins as a promising and eccentric tale of contemporary youth but evolves into a banal love story as predictable as any lush Hollywood affair.,2007-08-07,12572.0,Reality Bites
Trevor Johnston,rotten,110950.0,Time Out,"There's probably a moderate little romantic comedy crying to get out here, but the film's vain striving for casual hip proves suffocatingly obtrusive.",2006-02-09,12572.0,Reality Bites
Caryn James,fresh,110950.0,New York Times,"Like the generation it presents so appealingly, it doesn't see any point in getting all bent out of shape and overambitious. But it knows how to hang out and have a great time.",2003-05-20,12572.0,Reality Bites
Roger Ebert,rotten,110950.0,Chicago Sun-Times,"What unwritten law prevented the makers of Reality Bites from observing that their heroine can't shoot video worth a damn, that their hero is a jerk, and that their villain is the most interesting person in the movie?",2000-01-01,12572.0,Reality Bites
Rita Kempley,fresh,110950.0,Washington Post,"The story may not be new, but it is as fresh as the film's new faces.",2000-01-01,12572.0,Reality Bites
James Berardinelli,rotten,110950.0,ReelViews,Beneath a thin veneer of style lie buried all the old cliches and formulas of typical romantic comedies.,2000-01-01,12572.0,Reality Bites
Desson Thomson,fresh,110950.0,Washington Post,[Childress and Stiller] encapsulate an era.,2000-01-01,12572.0,Reality Bites
Richard Schickel,fresh,105226.0,TIME Magazine,"It's well worth tracking down, wherever you can find it. For it has the kind of tension and energy -- maybe even a touch of delirium -- that is only a memory in most of today's big studio movies.",2009-03-13,14708.0,Red Rock West
Leonard Klady,fresh,105226.0,Variety,A wry thriller with a keen edge.,2008-09-16,14708.0,Red Rock West
Jonathan Rosenbaum,rotten,105226.0,Chicago Reader,"A rather ho-hum if watchable neo-noir, though it's been treated in some quarters as something special.",2008-09-16,14708.0,Red Rock West
Geoff Andrew,fresh,105226.0,Time Out,"[A] well-played, highly entertaining and playfully ingenious thriller.",2006-06-24,14708.0,Red Rock West
Caryn James,fresh,105226.0,New York Times,It should never have fallen through the cracks. This clever little film is a real find.,2003-05-20,14708.0,Red Rock West
Richard Harrington,fresh,105226.0,Washington Post,It is a treasure waiting to be discovered.,2000-01-01,14708.0,Red Rock West
Roger Ebert,fresh,105226.0,Chicago Sun-Times,"It's the kind of movie made by people who love movies, have had some good times at them, and want to celebrate the very texture of old genres like the western and the film noir.",2000-01-01,14708.0,Red Rock West
James Berardinelli,fresh,105226.0,ReelViews,"Red Rock West is a roller-coaster ride of a film, designed for those who like their thrillers spiced with the unexpected.",2000-01-01,14708.0,Red Rock West
Joe Brown,fresh,105226.0,Washington Post,"Director John Dahl and his brother Rick Dahl co-wrote the intelligent and off-handedly witty script; they're like the Coen brothers, but with a sense of fun and a coherent, entertaining story to tell.",2000-01-01,14708.0,Red Rock West
Joe Leydon,rotten,110989.0,Variety,Decently crafted but oddly charmless.,2007-04-26,10932.0,Ri¢hie Ri¢h
Geoff Andrew,rotten,110989.0,Time Out,Unendurable.,2006-06-24,10932.0,Ri¢hie Ri¢h
Stephen Holden,rotten,110989.0,New York Times,"Most of the time, Richie Rich is too busy oohing and ahhing over the junk that money can buy to relax and have a good time.",2003-05-20,10932.0,Ri¢hie Ri¢h
Peter Stack,fresh,110989.0,San Francisco Chronicle,A spirited and fluffy kids' comedy.,2000-01-01,10932.0,Ri¢hie Ri¢h
Roger Ebert,fresh,110989.0,Chicago Sun-Times,"What's sort of wonderful is the way this movie takes that old formula and makes it fresh and new, with actors who give it wit and charm.",2000-01-01,10932.0,Ri¢hie Ri¢h
Rita Kempley,rotten,110989.0,Washington Post,"The filmmakers seem to think of their movie as a fiduciary fable, but they're not quite sure about its moral.",2000-01-01,10932.0,Ri¢hie Ri¢h
Lisa Schwarzbaum,fresh,111054.0,Entertainment Weekly,,2011-09-07,12470.0,Safe Passage
Leonard Klady,none,111054.0,Variety,,2009-03-26,12470.0,Safe Passage
Derek Adams,none,111054.0,Time Out,,2006-02-09,12470.0,Safe Passage
Caryn James,none,111054.0,New York Times,,2003-05-20,12470.0,Safe Passage
,none,111054.0,Globe and Mail,,2002-04-12,12470.0,Safe Passage
Roger Ebert,rotten,111054.0,Chicago Sun-Times,,2000-01-01,12470.0,Safe Passage
Edward Guthmann,none,111054.0,San Francisco Chronicle,,2000-01-01,12470.0,Safe Passage
James Berardinelli,rotten,111054.0,ReelViews,,2000-01-01,12470.0,Safe Passage
,fresh,111054.0,Entertainment Weekly,,1995-05-04,12470.0,Safe Passage
Owen Gleiberman,rotten,110997.0,Entertainment Weekly,,2011-09-07,11519.0,The River Wild
Todd McCarthy,none,110997.0,Variety,,2009-03-26,11519.0,The River Wild
David Ansen,none,110997.0,Newsweek,,2008-03-31,11519.0,The River Wild
Geoff Andrew,none,110997.0,Time Out,,2006-06-24,11519.0,The River Wild
Janet Maslin,none,110997.0,New York Times,,2003-05-20,11519.0,The River Wild
,none,110997.0,Globe and Mail,,2002-04-12,11519.0,The River Wild
Peter Travers,fresh,110997.0,Rolling Stone,The perfect high old time for audiences in the mood to be tossed into the spin cycle for a pulse-pounding thrill ride.,2001-05-12,11519.0,The River Wild
Rita Kempley,rotten,110997.0,Washington Post,O'Neill proves to be a squeamish screenwriter. He doesn't allow his villain to do anything truly unnerving until the story's nearly done.,2000-01-01,11519.0,The River Wild
Roger Ebert,rotten,110997.0,Chicago Sun-Times,"Constructed from so many ideas, characters and situations recycled from other movies that all the way down the river I kept thinking: Been there. Done that.",2000-01-01,11519.0,The River Wild
Desson Thomson,fresh,110997.0,Washington Post,"If watched from a mildly amused, forgiving distance, the movie has its enjoyable moments -- good and campy.",2000-01-01,11519.0,The River Wild
James Berardinelli,fresh,110997.0,ReelViews,"The thriller framework is still familiar, but the results exhibit a welcome freshness.",2000-01-01,11519.0,The River Wild
,rotten,110997.0,Entertainment Weekly,,1994-09-30,11519.0,The River Wild
Steven Rea,fresh,111257.0,Philadelphia Inquirer,"De Bont has assembled it with masterly precision. And Speed looks terrific. There are breathtaking aerial shots, mind-boggling stunts, and camera positioning that you just don't expect. It's a rocketing eyeful.",2014-08-11,14748.0,Speed
Jeff Shannon,fresh,111257.0,Seattle Times,"A riotously enjoyable locomotive of action, Speed is driven by a premise of such crystalline purity that its ridiculousness becomes part of the fun.",2013-07-30,14748.0,Speed
Jay Boyar,fresh,111257.0,Orlando Sentinel,"Believe it or not, the most exciting movie of the year takes place mainly in an elevator, on a city bus and on a train car.",2013-07-30,14748.0,Speed
Kenneth Turan,fresh,111257.0,Los Angeles Times,"Action directing is a put-up-or-shut-up game, a skill that can't be faked or finessed; even a 10-year-old can tell if you've got it or not. And on the evidence of the invigorating Speed, Jan De Bont has definitely got it.",2013-07-30,14748.0,Speed
Jonathan Rosenbaum,fresh,111257.0,Chicago Reader,"The deft arabesques of cinematographer Andrzej Bartkowiak juice up the suspense, and if you're not too put off by the sheer ridiculousness of the story you won't be bored.",2013-07-30,14748.0,Speed
Anthony Lane,fresh,111257.0,New Yorker,"The result is clean, delirious, and, yes, speedy -- the best big-vehicle-in-peril movie since Clouzot's The Wages of Fear.",2013-07-30,14748.0,Speed
Gene Siskel,fresh,111257.0,Chicago Tribune,"Just when you think Speed is over, it takes you on a new high.",2013-07-30,14748.0,Speed
Michael Wilmington,fresh,111257.0,Chicago Tribune,"The story is a starting gun, a reason to roll out the high-tech action movie chase and demolition experts. It's gaudy action shtick, and it's fitting that the last stop is at Hollywood Boulevard.",2012-02-23,14748.0,Speed
Richard Schickel,fresh,111257.0,TIME Magazine,Talk about simple. But the film's sheer cut-to-the-chase straightfowardness is part of its appeal.,2009-06-14,14748.0,Speed
Todd McCarthy,fresh,111257.0,Variety,"Athough it hits any number of gaping credibility potholes on its careening journey around Los Angeles, Speed delivers the goods as a non-stop actioner that scarcely pauses to take a breath.",2009-06-14,14748.0,Speed
Tom Charity,rotten,111257.0,Time Out,"Eventually, inevitably, [it] goes too far, too fast, and ends up off the rails.",2006-06-24,14748.0,Speed
Janet Maslin,fresh,111257.0,New York Times,"Cleverer action films (Die Hard II and The Fugitive, for instance) deliver more sardonic intelligence, but this one still gets the job done.",2003-05-20,14748.0,Speed
Peter Travers,fresh,111257.0,Rolling Stone,"The smart and sassy Bullock is a knockout. She makes us believe the impossible things Annie is doing and, better, makes us care.",2001-05-12,14748.0,Speed
Roger Ebert,fresh,111257.0,Chicago Sun-Times,"We've seen this done before, but seldom so well, or at such a high pitch of energy.",2000-01-01,14748.0,Speed
David Ansen,fresh,111257.0,Newsweek,"Relentless without being overbearing, this is one likely blockbuster that doesn't feel too big for its britches. It's a friendly juggernaut.",2000-01-01,14748.0,Speed
Hal Hinson,rotten,111257.0,Washington Post,"Undeniably, the picture now and again supplies that edge-of-the-seat sensation; yet, by action-adventure standards, Speed is leaden and strangely poky. It never seems to shift into overdrive and let fly.",2000-01-01,14748.0,Speed
James Berardinelli,fresh,111257.0,ReelViews,The most breath-stoppingly thrilling motion picture to open since the original Die Hard.,2000-01-01,14748.0,Speed
Desson Thomson,rotten,111257.0,Washington Post,"The plot becomes so overextended, as Reeves and Hopper wage their endless public transportation battle, even the hardest Die-Harders will consider leaping off way before the final stop.",2000-01-01,14748.0,Speed
Owen Gleiberman,fresh,111257.0,Entertainment Weekly,"The film takes off from formula elements, but it manipulates those elements so skillfully, with such a canny mixture of delirium and restraint, that I walked out of the picture with the rare sensation that every gaudy thrill had been earned.",1994-06-10,14748.0,Speed
Jonathan Rosenbaum,rotten,111503.0,Chicago Reader,"If the Gulf War gave you an insatiable taste for burning oil and burning Arabs, this extravaganza will tide you over for at least a couple of days.",2009-12-11,16394.0,True Lies
Brian Lowry,rotten,111503.0,Variety,"Providing its share of fun in stretches, pic ultimately overstays its welcome with a level of mayhem that will simply feel like too much for any marginal fan of the genre.",2009-01-23,16394.0,True Lies
Geoff Andrew,fresh,111503.0,Time Out,"Half the time, this hi-tech action movie delivers, in a mindless kind of way: it's fast, crude and has enough explosions and cartoon-style violence to satisfy our baser instincts.",2006-06-24,16394.0,True Lies
Caryn James,fresh,111503.0,New York Times,"As this comedy of manners unfolds, it is played for all-out action as well as satiric humor.",2003-05-20,16394.0,True Lies
Rick Groen,fresh,111503.0,Globe and Mail,"However high your ranking on the culture scale, I defy you to watch this and leave the theatre without a whistled 'Wow' followed by a grudging 'That's entertainment.'",2002-04-12,16394.0,True Lies
James Berardinelli,fresh,111503.0,ReelViews,"An old-fashioned, high-tech, fun time at the movies.",2000-01-01,16394.0,True Lies
Desson Thomson,rotten,111503.0,Washington Post,This mixture of comedy and super-agent spectacle works well at first. But when Schwarzenegger's family and working worlds link up -- an inevitable development -- the plot becomes increasingly ridiculous and overwrought.,2000-01-01,16394.0,True Lies
Roger Ebert,fresh,111503.0,Chicago Sun-Times,"On the basis of stunts, special effects and pure action, it delivers sensationally.",2000-01-01,16394.0,True Lies
Rita Kempley,rotten,111503.0,Washington Post,"True Lies, far too technologically bloated for its cartoony plot, overestimates the human tolerance for high-tech mayhem.",2000-01-01,16394.0,True Lies
Owen Gleiberman,fresh,111503.0,Entertainment Weekly,"The fun of an elaborately scaled comic suspense thriller is that, no matter how spectacular the stunts are, the hero always seems to be operating out of the purest pragmatism.",1994-07-15,16394.0,True Lies
Owen Gleiberman,rotten,111693.0,Entertainment Weekly,,2011-09-07,13256.0,When a Man Loves a Woman
Leonard Klady,none,111693.0,Variety,,2009-03-26,13256.0,When a Man Loves a Woman
,none,111693.0,Time Out,,2006-01-26,13256.0,When a Man Loves a Woman
Janet Maslin,none,111693.0,New York Times,,2003-05-20,13256.0,When a Man Loves a Woman
,none,111693.0,Globe and Mail,,2002-04-12,13256.0,When a Man Loves a Woman
Peter Travers,none,111693.0,Rolling Stone,,2001-05-12,13256.0,When a Man Loves a Woman
Joe Brown,none,111693.0,Washington Post,,2000-01-01,13256.0,When a Man Loves a Woman
Rita Kempley,none,111693.0,Washington Post,,2000-01-01,13256.0,When a Man Loves a Woman
James Berardinelli,fresh,111693.0,ReelViews,,2000-01-01,13256.0,When a Man Loves a Woman
Roger Ebert,fresh,111693.0,Chicago Sun-Times,,2000-01-01,13256.0,When a Man Loves a Woman
,rotten,111693.0,Entertainment Weekly,,1994-04-29,13256.0,When a Man Loves a Woman
Todd McCarthy,none,111742.0,Variety,,2009-03-26,16830.0,Wolf
David Ansen,none,111742.0,Newsweek,,2008-10-18,16830.0,Wolf
,none,111742.0,Time Out,,2006-01-26,16830.0,Wolf
Janet Maslin,none,111742.0,New York Times,,2003-05-20,16830.0,Wolf
Rick Groen,rotten,111742.0,Globe and Mail,"If he'd followed through, Mike Nichols might have made a brilliant picture -- seems he just couldn't bear to look a gift wolf in the mouth.",2002-04-12,16830.0,Wolf
Peter Travers,fresh,111742.0,Rolling Stone,Nichols has crafted a rapturous romantic thriller with a darkly comic subtext about what kills human values.,2001-05-12,16830.0,Wolf
Desson Thomson,rotten,111742.0,Washington Post,"Nichols has allowed Wolf to evolve from a well-mounted, supernatural drama to goofy camp.",2000-01-01,16830.0,Wolf
Hal Hinson,fresh,111742.0,Washington Post,"A sometimes shaky, always enchanting Beauty and the Beast story for grown-ups that is the very essence of smart fun -- droll, sophisticated and surprisingly, pleasingly light.",2000-01-01,16830.0,Wolf
Roger Ebert,fresh,111742.0,Chicago Sun-Times,"An effective attempt to place a werewolf story in an incongruous setting, with the closely observed details of that setting used to make the story seem more believable.",2000-01-01,16830.0,Wolf
Edward Guthmann,fresh,111742.0,San Francisco Chronicle,It's a wonderfully entertaining and beautifully performed film.,2000-01-01,16830.0,Wolf
James Berardinelli,rotten,111742.0,ReelViews,Monster movies are supposed to frighten the audience; this one fails utterly in that arena.,2000-01-01,16830.0,Wolf
,fresh,111742.0,Entertainment Weekly,,1994-06-17,16830.0,Wolf
Todd McCarthy,none,111756.0,Variety,,2009-03-26,10707.0,Wyatt Earp
,none,111756.0,Time Out,,2006-01-26,10707.0,Wyatt Earp
Caryn James,none,111756.0,New York Times,,2003-05-20,10707.0,Wyatt Earp
,none,111756.0,Globe and Mail,,2002-04-12,10707.0,Wyatt Earp
Desson Thomson,none,111756.0,Washington Post,,2000-01-01,10707.0,Wyatt Earp
James Berardinelli,rotten,111756.0,ReelViews,,2000-01-01,10707.0,Wyatt Earp
Rita Kempley,none,111756.0,Washington Post,,2000-01-01,10707.0,Wyatt Earp
Roger Ebert,rotten,111756.0,Chicago Sun-Times,,2000-01-01,10707.0,Wyatt Earp
,rotten,111756.0,Entertainment Weekly,,1994-06-24,10707.0,Wyatt Earp
Hank Sartin,rotten,280486.0,Chicago Reader,"Director Joel Schumacher does a fair job of managing the chaos, but after a while you get tired of being dragged from setup to setup.",2010-02-05,12795.0,Bad Company
Kenneth Turan,none,280486.0,Los Angeles Times,,2006-02-04,12795.0,Bad Company
,none,280486.0,Time Out,,2006-01-26,12795.0,Bad Company
Robert Denerstein,none,280486.0,Denver Rocky Mountain News,,2002-08-09,12795.0,Bad Company
Michael Wilmington,rotten,280486.0,Chicago Tribune,"If you've seen the trailer, you've seen almost everything good in Bad Company.",2002-07-20,12795.0,Bad Company
,none,280486.0,Atlanta Journal-Constitution,,2002-06-25,12795.0,Bad Company
Peter Rainer,rotten,280486.0,New York Magazine/Vulture,Rock doesn't really act with the other performers; he stands next to them and buzzes in his own orbit.,2002-06-16,12795.0,Bad Company
Bill Muller,fresh,280486.0,Arizona Republic,"Despite its cliche-ridden premise, Bad Company often works simply because there's so much talent on the screen.",2002-06-13,12795.0,Bad Company
Michael Atkinson,rotten,280486.0,Village Voice,Predictably soulless techno-tripe.,2002-06-11,12795.0,Bad Company
,none,280486.0,St. Louis Post-Dispatch,,2002-06-10,12795.0,Bad Company
Peter Travers,rotten,280486.0,Rolling Stone,Producer Jerry Bruckheimer demands the kind of formula action that leaves director Joel Schumacher no space to let characters breathe.,2002-06-10,12795.0,Bad Company
Ella Taylor,fresh,280486.0,L.A. Weekly,"Deft, funny and intelligently scary.",2002-06-10,12795.0,Bad Company
